Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);77.963562;
reshape model time (ms);4.033120;
compile model time (ms);3438.762107;
first inference time (ms);4041.315502;
total execution time (ms);107883.351224;
total number of iterations;100;
Median latency (ms);190.765414;
Percentile boundary;50;
Average latency (ms);1078.318433;
Min latency (ms);28.448097;
Max latency (ms);5916.094333;
throughput;0.926927;

