Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);224.637422;
reshape model time (ms);11.016284;
compile model time (ms);1062.060292;
first inference time (ms);928.238625;
total execution time (ms);12709.312652;
total number of iterations;100;
Median latency (ms);116.152800;
Percentile boundary;50;
Average latency (ms);126.641150;
Min latency (ms);73.136700;
Max latency (ms);688.245853;
throughput;7.868246;

