Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);219.617179;
reshape model time (ms);10.924347;
compile model time (ms);4671.318454;
first inference time (ms);4826.159905;
total execution time (ms);2492381.720293;
total number of iterations;10833;
Median latency (ms);131.945148;
Percentile boundary;50;
Average latency (ms);229.693310;
Min latency (ms);47.525729;
Max latency (ms);19109.190294;
throughput;4.346445;

