Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);220.214627;
reshape model time (ms);10.972492;
compile model time (ms);886.792980;
first inference time (ms);945.471045;
total execution time (ms);12670.517542;
total number of iterations;100;
Median latency (ms);118.622696;
Percentile boundary;50;
Average latency (ms);126.507190;
Min latency (ms);70.294371;
Max latency (ms);690.097972;
throughput;7.892337;

