Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);74.165636;
reshape model time (ms);3.570753;
compile model time (ms);372.284426;
first inference time (ms);589.592658;
total execution time (ms);5344.266270;
total number of iterations;100;
Median latency (ms);37.957931;
Percentile boundary;50;
Average latency (ms);53.251027;
Min latency (ms);23.013900;
Max latency (ms);539.971861;
throughput;18.711643;

