Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);218.241782;
reshape model time (ms);10.903404;
compile model time (ms);909.632879;
first inference time (ms);934.914562;
total execution time (ms);12386.997725;
total number of iterations;100;
Median latency (ms);111.003370;
Percentile boundary;50;
Average latency (ms);123.664134;
Min latency (ms);70.196936;
Max latency (ms);686.963747;
throughput;8.072981;

