Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);73.952955;
reshape model time (ms);3.483838;
compile model time (ms);418.221239;
first inference time (ms);601.433345;
total execution time (ms);5401.127132;
total number of iterations;100;
Median latency (ms);40.198709;
Percentile boundary;50;
Average latency (ms);53.826860;
Min latency (ms);21.405011;
Max latency (ms);539.821506;
throughput;18.514654;

