Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);221.085042;
reshape model time (ms);11.242381;
compile model time (ms);904.191228;
first inference time (ms);953.175764;
total execution time (ms);13796.306384;
total number of iterations;100;
Median latency (ms);127.842939;
Percentile boundary;50;
Average latency (ms);137.630568;
Min latency (ms);77.615267;
Max latency (ms);770.616986;
throughput;7.248317;

