Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);74.087940;
reshape model time (ms);3.527983;
compile model time (ms);410.120451;
first inference time (ms);596.915877;
total execution time (ms);5402.989111;
total number of iterations;100;
Median latency (ms);40.300143;
Percentile boundary;50;
Average latency (ms);53.827113;
Min latency (ms);21.863659;
Max latency (ms);533.272437;
throughput;18.508273;

