Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);77.971107;
reshape model time (ms);3.503394;
compile model time (ms);3596.177216;
first inference time (ms);4043.895702;
total execution time (ms);1375430.924445;
total number of iterations;10833;
Median latency (ms);42.934043;
Percentile boundary;50;
Average latency (ms);126.533095;
Min latency (ms);15.718138;
Max latency (ms);11849.335368;
throughput;7.876077;

