Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);49.942087;
reshape model time (ms);6.036874;
compile model time (ms);491.607275;
first inference time (ms);196.503865;
total execution time (ms);2821.252425;
total number of iterations;100;
Median latency (ms);23.293867;
Percentile boundary;50;
Average latency (ms);27.958870;
Min latency (ms);13.706986;
Max latency (ms);160.861622;
throughput;35.445251;

