Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);26.004881;
reshape model time (ms);3.274397;
compile model time (ms);1051.496921;
first inference time (ms);91.007519;
total execution time (ms);961971.889663;
total number of iterations;10833;
Median latency (ms);88.730181;
Percentile boundary;50;
Average latency (ms);88.753108;
Min latency (ms);88.265580;
Max latency (ms);90.991310;
throughput;11.261244;

