Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.290907;
reshape model time (ms);10.051999;
compile model time (ms);1459.728855;
first inference time (ms);1135.636443;
total execution time (ms);1609181.838739;
total number of iterations;10833;
Median latency (ms);133.830551;
Percentile boundary;50;
Average latency (ms);148.303414;
Min latency (ms);41.702024;
Max latency (ms);530.062847;
throughput;6.731992;

