Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.663504;
reshape model time (ms);5.460882;
compile model time (ms);239.511113;
first inference time (ms);83.122300;
total execution time (ms);2614.115434;
total number of iterations;100;
Median latency (ms);25.785204;
Percentile boundary;50;
Average latency (ms);25.868523;
Min latency (ms);13.807945;
Max latency (ms);41.019040;
throughput;38.253858;

