Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);15.984246;
reshape model time (ms);5.761619;
compile model time (ms);1122.111315;
first inference time (ms);642.909861;
total execution time (ms);1585.758943;
total number of iterations;100;
Median latency (ms);15.421246;
Percentile boundary;50;
Average latency (ms);15.539777;
Min latency (ms);8.959440;
Max latency (ms);41.931601;
throughput;63.061287;

