Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);25.245878;
reshape model time (ms);0.007773;
compile model time (ms);2946.892501;
first inference time (ms);21.119776;
total execution time (ms);126115.904457;
total number of iterations;10833;
Median latency (ms);11.592197;
Percentile boundary;50;
Average latency (ms);11.600316;
Min latency (ms);11.492397;
Max latency (ms);16.572999;
throughput;85.897176;

