Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);57.088186;
reshape model time (ms);7.577311;
compile model time (ms);451.855325;
first inference time (ms);124.405687;
total execution time (ms);5260.781029;
total number of iterations;100;
Median latency (ms);41.248840;
Percentile boundary;50;
Average latency (ms);52.449921;
Min latency (ms);21.409898;
Max latency (ms);217.981271;
throughput;19.008584;

