Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);115.043537;
reshape model time (ms);3.496951;
compile model time (ms);2493.922028;
first inference time (ms);101.894457;
total execution time (ms);1025407.658443;
total number of iterations;10833;
Median latency (ms);94.558266;
Percentile boundary;50;
Average latency (ms);94.578979;
Min latency (ms);93.985537;
Max latency (ms);96.453259;
throughput;10.564579;

