Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);86.457525;
reshape model time (ms);0.010558;
compile model time (ms);2780.855010;
first inference time (ms);40.913977;
total execution time (ms);414524.458711;
total number of iterations;10833;
Median latency (ms);38.149008;
Percentile boundary;50;
Average latency (ms);38.200257;
Min latency (ms);37.774449;
Max latency (ms);39.236047;
throughput;26.133560;

