Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);79.641115;
reshape model time (ms);3.516504;
compile model time (ms);424.115901;
first inference time (ms);205.104773;
total execution time (ms);8107.868039;
total number of iterations;100;
Median latency (ms);60.361826;
Percentile boundary;50;
Average latency (ms);80.851797;
Min latency (ms);27.626628;
Max latency (ms);309.957274;
throughput;12.333699;

