Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);51.257490;
reshape model time (ms);5.972393;
compile model time (ms);542.094298;
first inference time (ms);133.378665;
total execution time (ms);5403.495596;
total number of iterations;100;
Median latency (ms);42.272671;
Percentile boundary;50;
Average latency (ms);53.475375;
Min latency (ms);22.208412;
Max latency (ms);215.238317;
throughput;18.506539;

