Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);52.040928;
reshape model time (ms);6.035013;
compile model time (ms);2918.367477;
first inference time (ms);1678.418327;
total execution time (ms);66822.837252;
total number of iterations;100;
Median latency (ms);678.977816;
Percentile boundary;50;
Average latency (ms);667.965949;
Min latency (ms);30.502473;
Max latency (ms);881.428035;
throughput;1.496494;

