Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);79.204519;
reshape model time (ms);3.505816;
compile model time (ms);2705.726285;
first inference time (ms);973.012269;
total execution time (ms);8331.762245;
total number of iterations;100;
Median latency (ms);64.471317;
Percentile boundary;50;
Average latency (ms);83.077424;
Min latency (ms);31.704325;
Max latency (ms);302.800987;
throughput;12.002263;

