Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);78.204024;
reshape model time (ms);3.525618;
compile model time (ms);433.973354;
first inference time (ms);210.776965;
total execution time (ms);8378.688183;
total number of iterations;100;
Median latency (ms);63.633107;
Percentile boundary;50;
Average latency (ms);83.618667;
Min latency (ms);31.132381;
Max latency (ms);300.152633;
throughput;11.935043;

