Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);55.946804;
reshape model time (ms);7.153876;
compile model time (ms);508.096339;
first inference time (ms);142.152729;
total execution time (ms);5401.998563;
total number of iterations;100;
Median latency (ms);41.263222;
Percentile boundary;50;
Average latency (ms);53.473353;
Min latency (ms);23.140370;
Max latency (ms);214.857601;
throughput;18.511667;

