Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);79.389156;
reshape model time (ms);3.500523;
compile model time (ms);432.892793;
first inference time (ms);222.676566;
total execution time (ms);7976.585619;
total number of iterations;100;
Median latency (ms);61.909412;
Percentile boundary;50;
Average latency (ms);79.420380;
Min latency (ms);27.774244;
Max latency (ms);299.494315;
throughput;12.536692;

