Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);51.674518;
reshape model time (ms);5.439184;
compile model time (ms);2300.854715;
first inference time (ms);906.334190;
total execution time (ms);407044.544712;
total number of iterations;10833;
Median latency (ms);33.069609;
Percentile boundary;50;
Average latency (ms);37.332629;
Min latency (ms);13.048156;
Max latency (ms);203.970218;
throughput;26.613795;

