Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);50.874183;
reshape model time (ms);6.055974;
compile model time (ms);453.429476;
first inference time (ms);127.161374;
total execution time (ms);8560.709047;
total number of iterations;200;
Median latency (ms);34.611242;
Percentile boundary;50;
Average latency (ms);42.340966;
Min latency (ms);13.361601;
Max latency (ms);222.027697;
throughput;23.362551;

