Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);227.131720;
reshape model time (ms);11.077114;
compile model time (ms);1044.050641;
first inference time (ms);653.207432;
total execution time (ms);37026.068653;
total number of iterations;200;
Median latency (ms);143.539670;
Percentile boundary;50;
Average latency (ms);184.936449;
Min latency (ms);65.405298;
Max latency (ms);884.486543;
throughput;5.401600;

