Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);50.139152;
reshape model time (ms);6.039871;
compile model time (ms);444.540498;
first inference time (ms);132.196032;
total execution time (ms);11248.367919;
total number of iterations;200;
Median latency (ms);49.613938;
Percentile boundary;50;
Average latency (ms);55.878777;
Min latency (ms);18.713534;
Max latency (ms);286.135860;
throughput;17.780357;

