Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;1;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;1;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);209.394400;
reshape model time (ms);10.681567;
compile model time (ms);4350.649174;
first inference time (ms);1921.453506;
total execution time (ms);190.043890;
total number of iterations;1;
Median latency (ms);189.991540;
Percentile boundary;50;
Average latency (ms);189.991540;
Min latency (ms);189.991540;
Max latency (ms);189.991540;
throughput;5.261942;

