Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;1;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;1;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);218.769190;
reshape model time (ms);0.010420;
compile model time (ms);4032.343521;
first inference time (ms);305.219215;
total execution time (ms);297.222606;
total number of iterations;1;
Median latency (ms);297.220728;
Percentile boundary;50;
Average latency (ms);297.220728;
Min latency (ms);297.220728;
Max latency (ms);297.220728;
throughput;3.364482;

