Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);78.099728;
reshape model time (ms);3.551461;
compile model time (ms);386.634315;
first inference time (ms);205.198031;
total execution time (ms);13371.928784;
total number of iterations;200;
Median latency (ms);54.796672;
Percentile boundary;50;
Average latency (ms);66.629640;
Min latency (ms);23.008652;
Max latency (ms);301.136912;
throughput;14.956705;

