Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);50.924317;
reshape model time (ms);6.024377;
compile model time (ms);495.917843;
first inference time (ms);133.691892;
total execution time (ms);8761.444280;
total number of iterations;200;
Median latency (ms);35.446146;
Percentile boundary;50;
Average latency (ms);43.360152;
Min latency (ms);13.778417;
Max latency (ms);286.115383;
throughput;22.827287;

