Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);78.645043;
reshape model time (ms);3.496770;
compile model time (ms);386.356967;
first inference time (ms);202.805827;
total execution time (ms);12914.259111;
total number of iterations;200;
Median latency (ms);52.220140;
Percentile boundary;50;
Average latency (ms);64.343442;
Min latency (ms);22.945675;
Max latency (ms);302.647147;
throughput;15.486758;

