Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);50.470146;
reshape model time (ms);5.926229;
compile model time (ms);542.188402;
first inference time (ms);139.640361;
total execution time (ms);9372.227557;
total number of iterations;200;
Median latency (ms);39.925898;
Percentile boundary;50;
Average latency (ms);46.415198;
Min latency (ms);13.169591;
Max latency (ms);279.432697;
throughput;21.339644;

