Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;200;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;200;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);215.275946;
reshape model time (ms);10.991958;
compile model time (ms);867.673189;
first inference time (ms);634.631537;
total execution time (ms);34707.130244;
total number of iterations;200;
Median latency (ms);139.466843;
Percentile boundary;50;
Average latency (ms);173.110845;
Min latency (ms);63.412811;
Max latency (ms);709.282545;
throughput;5.762505;

