Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;1;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;1;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);78.547530;
reshape model time (ms);3.561819;
compile model time (ms);2957.112373;
first inference time (ms);1003.416728;
total execution time (ms);61.335592;
total number of iterations;1;
Median latency (ms);61.285556;
Percentile boundary;50;
Average latency (ms);61.285556;
Min latency (ms);61.285556;
Max latency (ms);61.285556;
throughput;16.303747;

