Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);25.470865;
reshape model time (ms);10.235806;
compile model time (ms);1834.756719;
first inference time (ms);709.656316;
total execution time (ms);282594.546401;
total number of iterations;10833;
Median latency (ms);21.432600;
Percentile boundary;50;
Average latency (ms);25.789470;
Min latency (ms);15.353771;
Max latency (ms);88.337564;
throughput;38.334073;

