Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);25.722983;
reshape model time (ms);0.007826;
compile model time (ms);2966.587082;
first inference time (ms);23.905710;
total execution time (ms);123912.351376;
total number of iterations;10833;
Median latency (ms);11.388284;
Percentile boundary;50;
Average latency (ms);11.396223;
Min latency (ms);11.291731;
Max latency (ms);17.848347;
throughput;87.424699;

