Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);15.761766;
reshape model time (ms);5.512957;
compile model time (ms);326.640490;
first inference time (ms);38.447427;
total execution time (ms);1493.378919;
total number of iterations;100;
Median latency (ms);15.580641;
Percentile boundary;50;
Average latency (ms);14.676483;
Min latency (ms);7.623860;
Max latency (ms);35.967168;
throughput;66.962242;

