Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);25.210052;
reshape model time (ms);3.408520;
compile model time (ms);1003.562603;
first inference time (ms);90.214203;
total execution time (ms);960157.396509;
total number of iterations;10833;
Median latency (ms);88.557996;
Percentile boundary;50;
Average latency (ms);88.582781;
Min latency (ms);88.066293;
Max latency (ms);89.899929;
throughput;11.282525;

