Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);15.964751;
reshape model time (ms);5.529242;
compile model time (ms);247.832070;
first inference time (ms);80.987320;
total execution time (ms);2620.970046;
total number of iterations;100;
Median latency (ms);25.962439;
Percentile boundary;50;
Average latency (ms);26.047091;
Min latency (ms);14.106635;
Max latency (ms);54.923864;
throughput;38.153813;

