Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);329.887173;
reshape model time (ms);0.008993;
compile model time (ms);4035.530441;
first inference time (ms);299.069079;
total execution time (ms);3174031.078191;
total number of iterations;10833;
Median latency (ms);292.776260;
Percentile boundary;50;
Average latency (ms);292.948820;
Min latency (ms);291.970825;
Max latency (ms);296.946973;
throughput;3.413010;

