Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);113.597138;
reshape model time (ms);3.345029;
compile model time (ms);2149.299089;
first inference time (ms);96.583392;
total execution time (ms);1012722.168003;
total number of iterations;10833;
Median latency (ms);93.408043;
Percentile boundary;50;
Average latency (ms);93.439821;
Min latency (ms);92.984560;
Max latency (ms);95.736119;
throughput;10.696912;

