Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);16.613969;
reshape model time (ms);5.813003;
compile model time (ms);1090.521179;
first inference time (ms);628.596430;
total execution time (ms);125944.023450;
total number of iterations;10833;
Median latency (ms);11.519897;
Percentile boundary;50;
Average latency (ms);11.571629;
Min latency (ms);5.246861;
Max latency (ms);56.028019;
throughput;86.014403;

