Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);16.158822;
reshape model time (ms);5.624767;
compile model time (ms);310.888041;
first inference time (ms);37.492057;
total execution time (ms);1111.290206;
total number of iterations;100;
Median latency (ms);10.342739;
Percentile boundary;50;
Average latency (ms);11.074642;
Min latency (ms);5.765262;
Max latency (ms);66.802259;
throughput;89.985496;

