Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);16.080600;
reshape model time (ms);5.598265;
compile model time (ms);307.793875;
first inference time (ms);34.541167;
total execution time (ms);1076.037638;
total number of iterations;100;
Median latency (ms);10.544217;
Percentile boundary;50;
Average latency (ms);10.692109;
Min latency (ms);6.084730;
Max latency (ms);33.722590;
throughput;92.933552;

