Command line parameters;
cache_dir;./_cache;
d;GPU.1;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);25.957497;
reshape model time (ms);0.007877;
compile model time (ms);2897.902177;
first inference time (ms);19.169079;
total execution time (ms);115856.247451;
total number of iterations;10833;
Median latency (ms);10.647452;
Percentile boundary;50;
Average latency (ms);10.655660;
Min latency (ms);10.500075;
Max latency (ms);15.832199;
throughput;93.503805;

