Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);18.157959;
reshape model time (ms);0.008111;
compile model time (ms);988.779166;
first inference time (ms);36.215646;
total execution time (ms);372690.603212;
total number of iterations;10833;
Median latency (ms);34.344372;
Percentile boundary;50;
Average latency (ms);34.355212;
Min latency (ms);34.122402;
Max latency (ms);35.436550;
throughput;29.067006;

