Command line parameters;
cache_dir;./_cache;
d;GPU.0;
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);21.258443;
reshape model time (ms);3.512332;
compile model time (ms);954.889995;
first inference time (ms);91.799341;
total execution time (ms);974796.749029;
total number of iterations;10833;
Median latency (ms);89.906165;
Percentile boundary;50;
Average latency (ms);89.933372;
Min latency (ms);89.447652;
Max latency (ms);92.354496;
throughput;11.113086;

