Command line parameters;
cache_dir;./_cache;
d;GPU.0;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.0;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.0 streams;1;

Execution results;
read model time (ms);235.563837;
reshape model time (ms);19.543074;
compile model time (ms);3534.380970;
first inference time (ms);1491.470114;
total execution time (ms);1732691.011102;
total number of iterations;10833;
Median latency (ms);139.618830;
Percentile boundary;50;
Average latency (ms);159.703304;
Min latency (ms);45.148897;
Max latency (ms);995.540769;
throughput;6.252125;

