Command line parameters;
cache_dir;./_cache;
d;GPU.1;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU.1;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU.1 streams;1;

Execution results;
read model time (ms);15.352023;
reshape model time (ms);5.425212;
compile model time (ms);1084.815662;
first inference time (ms);669.278353;
total execution time (ms);163451.423204;
total number of iterations;10833;
Median latency (ms);16.091237;
Percentile boundary;50;
Average latency (ms);14.783177;
Min latency (ms);7.302395;
Max latency (ms);44.850136;
throughput;66.276572;

