Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);233.892531;
reshape model time (ms);11.392811;
compile model time (ms);916.871839;
first inference time (ms);649.660156;
total execution time (ms);15936.720021;
total number of iterations;100;
Median latency (ms);155.825617;
Percentile boundary;50;
Average latency (ms);159.213591;
Min latency (ms);101.010946;
Max latency (ms);419.755358;
throughput;6.274817;

