Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);330.106454;
reshape model time (ms);0.011592;
compile model time (ms);3975.525583;
first inference time (ms);304.913644;
total execution time (ms);3245641.365893;
total number of iterations;10833;
Median latency (ms);299.363810;
Percentile boundary;50;
Average latency (ms);299.556221;
Min latency (ms);298.484790;
Max latency (ms);302.140795;
throughput;3.337707;

