Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);234.768027;
reshape model time (ms);11.257462;
compile model time (ms);819.767828;
first inference time (ms);655.508509;
total execution time (ms);14312.784197;
total number of iterations;100;
Median latency (ms);140.802721;
Percentile boundary;50;
Average latency (ms);142.965437;
Min latency (ms);88.710296;
Max latency (ms);348.186510;
throughput;6.986761;

