Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);54.417868;
reshape model time (ms);6.425705;
compile model time (ms);3099.337469;
first inference time (ms);1372.778157;
total execution time (ms);22856.051081;
total number of iterations;100;
Median latency (ms);47.809581;
Percentile boundary;50;
Average latency (ms);228.252479;
Min latency (ms);23.936822;
Max latency (ms);678.849891;
throughput;4.375209;

