Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);82.889334;
reshape model time (ms);3.671437;
compile model time (ms);408.770551;
first inference time (ms);219.952484;
total execution time (ms);5701.643008;
total number of iterations;100;
Median latency (ms);59.032878;
Percentile boundary;50;
Average latency (ms);56.815791;
Min latency (ms);32.635773;
Max latency (ms);144.757537;
throughput;17.538804;

