Command line parameters;
cache_dir;./_cache;
d;GPU;
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;10833;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,384],attention_mask[1,384],token_type_ids[1,384];

Configuration setup;
benchmark mode;inference only;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;10833;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);71.806770;
reshape model time (ms);0.010007;
compile model time (ms);3000.880566;
first inference time (ms);41.937401;
total execution time (ms);415632.369606;
total number of iterations;10833;
Median latency (ms);38.303363;
Percentile boundary;50;
Average latency (ms);38.317353;
Min latency (ms);38.005476;
Max latency (ms);39.505685;
throughput;26.063899;

