Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-small-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-small-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);57.614749;
reshape model time (ms);6.568808;
compile model time (ms);474.250728;
first inference time (ms);136.516882;
total execution time (ms);4376.083583;
total number of iterations;100;
Median latency (ms);47.057807;
Percentile boundary;50;
Average latency (ms);43.566023;
Min latency (ms);21.048767;
Max latency (ms);89.234116;
throughput;22.851483;

