Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);228.793948;
reshape model time (ms);11.112862;
compile model time (ms);837.896630;
first inference time (ms);657.474708;
total execution time (ms);14506.497774;
total number of iterations;100;
Median latency (ms);140.438046;
Percentile boundary;50;
Average latency (ms);144.868477;
Min latency (ms);100.556080;
Max latency (ms);351.573494;
throughput;6.893463;

