Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);231.941175;
reshape model time (ms);11.368430;
compile model time (ms);863.450949;
first inference time (ms);650.327572;
total execution time (ms);15257.530908;
total number of iterations;100;
Median latency (ms);148.653862;
Percentile boundary;50;
Average latency (ms);152.206732;
Min latency (ms);101.214682;
Max latency (ms);352.596873;
throughput;6.554140;

