Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-base-uncased/onnx/onnx/FP16/1/dldt/bert-base-uncased.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);80.254543;
reshape model time (ms);3.517562;
compile model time (ms);418.958596;
first inference time (ms);228.492237;
total execution time (ms);5474.121974;
total number of iterations;100;
Median latency (ms);50.061209;
Percentile boundary;50;
Average latency (ms);54.541384;
Min latency (ms);32.983756;
Max latency (ms);143.483019;
throughput;18.267770;

