Command line parameters;
cache_dir;./_cache;
d;GPU;
data_shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];
hint;none;
m;/home/geunhwan/work/model/bert-large-uncased-whole-word-masking-squad-0001/onnx/onnx/FP16/1/dldt/bert-large-uncased-whole-word-masking-squad-0001.xml;
nireq;1;
niter;100;
nstreams;1;
report_folder;.;
report_type;no_counters;
shape;input_ids[1,?],attention_mask[1,?],token_type_ids[1,?];

Configuration setup;
benchmark mode;full;
topology;torch-jit-export;
target device;GPU;
API;async;
precision;undefined;
batch size;1;
number of iterations;100;
number of parallel infer requests;1;
duration (ms);0;
number of GPU streams;1;

Execution results;
read model time (ms);236.967393;
reshape model time (ms);11.687444;
compile model time (ms);953.033471;
first inference time (ms);648.174636;
total execution time (ms);14726.302472;
total number of iterations;100;
Median latency (ms);141.823336;
Percentile boundary;50;
Average latency (ms);146.913917;
Min latency (ms);101.446442;
Max latency (ms);359.119454;
throughput;6.790571;

